src,dst,type
usaidguate,guatemalagob,mention
usaidguate,ogpguatemala,mention
emisorasunidas,lesterramirezeu,mention
mpguatemala,usaidguate,mention
angeln8,prensa_libre,mention
angeln8,soy_502,mention
angeln8,traficogt,mention
angeln8,traficogt,reply
91072dff5a5a4f1,agenciaocote,mention
91072dff5a5a4f1,traficogt,mention
91072dff5a5a4f1,agenciaocote,reply
luisvonahn,ufmedu,mention
mvtrooper,cc_guatemala,mention
mvtrooper,factor4_gt,mention
mvtrooper,mpguatemala,mention
mvtrooper,traficogt,mention
mvtrooper,factor4_gt,reply
elmeronene1,traficogt,mention
elmeronene1,traficogt,reply
mvtrooper,cangguatemala,mention
mvtrooper,hshetemul,mention
mvtrooper,mpguatemala,mention
mvtrooper,traficogt,mention
mvtrooper,hshetemul,reply
guiselabarrios,traficogt,mention
guiselabarrios,traficogt,reply
lucreciave97613,mmendoza_gt,mention
lucreciave97613,purorojoybarca,mention
lucreciave97613,traficogt,mention
lucreciave97613,purorojoybarca,reply
gerzon13,hshetemul,mention
gerzon13,traficogt,mention
gerzon13,hshetemul,reply
nop7025,ivanhergarcia,mention
nop7025,traficogt,mention
nop7025,ivanhergarcia,reply
gt502_luis,traficogt,mention
gt502_luis,traficogt,reply
guiller53663736,traficogt,mention
guiller53663736,traficogt,reply
91072dff5a5a4f1,carlos_ruano_,mention
91072dff5a5a4f1,justiciayagt,mention
91072dff5a5a4f1,traficogt,mention
91072dff5a5a4f1,justiciayagt,reply
matiasysimon,_elfaro_,mention
matiasysimon,agenciaocote,mention
matiasysimon,aleixsarri,mention
matiasysimon,alianzargt,mention
matiasysimon,bbcmundo,mention
matiasysimon,chepezamora,mention
matiasysimon,derspiegel,mention
matiasysimon,festivalesgt,mention
matiasysimon,prensacomunitar,mention
matiasysimon,traficogt,mention
matiasysimon,uclcgt,mention
matiasysimon,vicentecarrera_,mention
matiasysimon,vicentecarrera_,reply
evelincitay,_elfaro_,mention
evelincitay,agenciaocote,mention
evelincitay,aleixsarri,mention
evelincitay,alianzargt,mention
evelincitay,bbcmundo,mention
evelincitay,chepezamora,mention
evelincitay,derspiegel,mention
evelincitay,festivalesgt,mention
evelincitay,prensacomunitar,mention
evelincitay,traficogt,mention
evelincitay,uclcgt,mention
evelincitay,vicentecarrera_,mention
evelincitay,vicentecarrera_,reply
bufeprofesional,_elfaro_,mention
bufeprofesional,agenciaocote,mention
bufeprofesional,aleixsarri,mention
bufeprofesional,alianzargt,mention
bufeprofesional,bbcmundo,mention
bufeprofesional,chepezamora,mention
bufeprofesional,derspiegel,mention
bufeprofesional,festivalesgt,mention
bufeprofesional,prensacomunitar,mention
bufeprofesional,traficogt,mention
bufeprofesional,uclcgt,mention
bufeprofesional,vicentecarrera_,mention
bufeprofesional,vicentecarrera_,reply
matiasysimon,drgiammattei,mention
matiasysimon,marlonmezateni,mention
matiasysimon,traficogt,mention
matiasysimon,marlonmezateni,reply
caalcatun,drgiammattei,mention
caalcatun,marlonmezateni,mention
caalcatun,traficogt,mention
caalcatun,marlonmezateni,reply
erwin15,luisvonahn,mention
erwin15,traficogt,mention
erwin15,ufmedu,mention
erwin15,luisvonahn,reply
ivanhergarcia,kevo1203,mention
ivanhergarcia,traficogt,mention
ivanhergarcia,nop7025,reply
roanchi2,justiciayagt,mention
roanchi2,traficogt,mention
roanchi2,justiciayagt,reply
mincho_guate,anongtreloaded,mention
mincho_guate,traficogt,mention
mincho_guate,anongtreloaded,reply
eliezerpinist,luisvonahn,mention
eliezerpinist,traficogt,mention
eliezerpinist,ufmedu,mention
eliezerpinist,luisvonahn,reply
er65595983,pialaperiodista,mention
er65595983,quorumgt,mention
er65595983,traficogt,mention
er65595983,quorumgt,reply
ottochacon5,pialaperiodista,mention
ottochacon5,quorumgt,mention
ottochacon5,traficogt,mention
ottochacon5,quorumgt,reply
pedro_d_delgado,anongtreloaded,mention
pedro_d_delgado,mpguatemala,mention
pedro_d_delgado,traficogt,mention
pedro_d_delgado,anongtreloaded,reply
nop7025,ivanhergarcia,mention
nop7025,traficogt,mention
nop7025,ivanhergarcia,reply
abnergiron,er65595983,mention
abnergiron,pialaperiodista,mention
abnergiron,quorumgt,mention
abnergiron,traficogt,mention
abnergiron,er65595983,reply
astridmarianal3,pialaperiodista,mention
astridmarianal3,quorumgt,mention
astridmarianal3,traficogt,mention
astridmarianal3,quorumgt,reply
chelo159,pialaperiodista,mention
chelo159,quorumgt,mention
chelo159,traficogt,mention
chelo159,quorumgt,reply
rickyr7,noficciongt,mention
rickyr7,traficogt,mention
rickyr7,noficciongt,reply
epguate,pialaperiodista,mention
epguate,quorumgt,mention
epguate,traficogt,mention
epguate,quorumgt,reply
cedr2506,rafa_mal0072,mention
cedr2506,traficogt,mention
cedr2506,rafa_mal0072,reply
leds_ma,pialaperiodista,mention
leds_ma,quorumgt,mention
