username,tweets,replies,pct_reply
traficogt,781,39,5.0
batallonjalapa,134,134,100.0
mildred_gaitan,105,105,100.0
lahoragt,74,2,2.7
chofito63569841,49,49,100.0
angeln8,46,43,93.5
prensacomunitar,45,5,11.1
papaabumario,43,43,100.0
elrevoltijogt,40,7,17.5
hellboy17oc,39,39,100.0
alejandro2024gt,34,34,100.0
arthurshp_wf,33,33,100.0
iovittor,32,32,100.0
ldubon63,32,32,100.0
benitoc67601310,31,23,74.2
mariacdeleon1,27,27,100.0
byron96324753,24,24,100.0
kroldegarcia,24,24,100.0
wamado04,23,23,100.0
yani_wen,23,23,100.0
