username,tweets
traficogt,781
batallonjalapa,134
mildred_gaitan,105
lahoragt,74
chofito63569841,49
angeln8,46
prensacomunitar,45
papaabumario,43
elrevoltijogt,40
hellboy17oc,39
alejandro2024gt,34
arthurshp_wf,33
iovittor,32
ldubon63,32
benitoc67601310,31
mariacdeleon1,27
byron96324753,24
kroldegarcia,24
yani_wen,23
wamado04,23
arronchopa,23
aurabenitez,22
ialmgg,22
vvj_gt,21
oemc311,21
erosan3edsa,21
giovanottigt,20
cedr2506,20
aztecanoticiagt,20
minfingt,20
anti_chairosgt,19
roanchi2,18
dupin07,18
eedlb,18
factor4_gt,16
dimb502,16
ariefialko,16
spaceboy88fly,16
republicagt,16
emisorasunidas,16
manfredoguate,16
mvtrooper,15
doloresflo23,15
ubaldomacu,15
ep_investiga,15
diariodeca,15
billyc2023,15
atolypanito,15
gersonbarrera,15
florydeprez2,15
pfacticos,15
comunicalord,14
edberb,14
salquevedo,14
eliezerpinist,14
mendiamariela,14
jlfont001,13
rafaeldelaguil8,13
mikepachino_7,13
pollosdb,13
alejand09098718,13
erwin15,13
lajudaica,13
herrarturocruz1,13
aldanav52139161,13
maribelmar51429,13
wichomarg,13
cesa71183,13
julioca75923080,13
vquique,13
estelar21362549,13
mundo9999,13
agn_noticias,13
mariochiu2,13
elojodelcerro,13
honor182,12
cocolocoantillo,12
jorgeve19521845,12
citizen_tobino,12
robertr02304443,12
jcarlos223020,12
sergioporres2,12
prensa_libre,12
quorumgt,12
cubreserva,12
josecif33982901,12
edwadriperez,12
anameri71677244,12
oco_motora,12
__vadertg,12
licopatron,11
rickyr7,11
leraovalle,11
josejorgemonroy,11
corleone_62,11
rafaelae1967,11
mirnadesoto1,11
victorp95913830,11
noficciongt,11
chilaberta,10
