hashtag,count
guatemala,40
ahora,36
urgente,33
guatemalasaleadelante,24
traficogt,22
ahoralh,19
minfinsaleadelante,17
renunciengolpistas,15
presupuesto2025,14
unpresupuestoparalapoblación,13
enelpaísdca,12
lhnacionales,9
paronacionaindefinido,8
paronacionalindefinido,8
guateresiste,8
nacionales,8
lahoradeactualizarnos,8
nacionalesagn,8
adiosconsuelo,7
lhenbreve,7
consueloporras,7
tráfico,7
renunciencorruptos,6
corrupción,6
transitogt,6
pactodecorruptos,6
transmetro,6
quiché,5
portadadehoy,5
semilla,5
