src,dst,weight
01lu88,barevalodeleon,4
01lu88,emisorasunidas,3
01lu88,mcfrsa,2
01lu88,mey_orella,2
01lu88,traficogt,3
0205mh_,barevalodeleon,1
0205mh_,olsenpsico,2
0515om,barevalodeleon,2
0s_dev,traficogt,2
1056_antonio,barevalodeleon,2
1056_antonio,maestro_roshi_3,2
1056_antonio,manfredoguate,2
1056_antonio,mineducgt,1
1056_antonio,oacnudh,1
1056_antonio,traficogt,1
1056_antonio,volker_turk,1
10elcrack10,_spguatemala,1
10elcrack10,agn_noticias,1
10elcrack10,barevalodeleon,2
10elcrack10,diariodeca,1
10elcrack10,fjimenezmingob,2
10elcrack10,guatemalagob,1
10elcrack10,mpguatemala,1
10elcrack10,pncdeguatemala,1
10elcrack10,radio_tgw,1
10elcrack10,santipalomov,1
10elcrack10,ubaldomacu,2
1207_pedro,barevalodeleon,1
1207_pedro,felixsinexcusas,1
1207_pedro,lazarozamoragt,2
1207_pedro,msemillagt,1
1601jr,traficogt,2
17147128204ca,barevalodeleon,2
17147128204ca,pdhgt,1
17147128204ca,traficogt,1
18madame,traficogt,2
197674a,barevalodeleon,2
197674a,emisorasunidas,2
197674a,factor4_gt,2
1981eljuanpi,barevalodeleon,1
1981eljuanpi,cesa71183,2
1994meola,__vadertg,2
1994meola,barevalodeleon,2
1994meola,congresoguate,1
1994meola,traficogt,4
1994meola,usaidguate,1
1c2ff7de4cf7407,barevalodeleon,2
1jass1jass,traficogt,2
230221abogado,plazapublicagt,1
230221abogado,traficogt,1
230221abogado,yovapower2,2
23bbdo,barevalodeleon,1
23bbdo,fjimenezmingob,1
23bbdo,guatemalagob,1
23bbdo,mingobguate,1
23bbdo,sandra_jovelp,1
23bbdo,uclcgt,1
23bbdo,vicentecarrera_,2
26_malima,alterlego502,1
26_malima,lanegrisgt,2
26_malima,mmendoza_gt,6
26_malima,noti_atlantico,1
26_malima,sonny_figueroa,2
26_malima,soyfdelrincon,1
26_malima,traficogt,5
26_malima,vozdeltuit,1
26bpalencia,discosbeagle,2
26bpalencia,drgiammattei,1
26bpalencia,jimmymoralesgt,1
26bpalencia,mpguatemala,1
26bpalencia,traficogt,1
29alexander29,barevalodeleon,3
29alexander29,drgiammattei,1
29alexander29,felixsinexcusas,1
29alexander29,guatemalagob,1
29alexander29,rafaelae1967,2
2bereniceee,barevalodeleon,3
2bereniceee,marcopo60095392,2
300867ivan,traficogt,2
360tono,barevalodeleon,1
360tono,drgiammattei,1
360tono,jimmymoralesgt,1
360tono,ottoperezmolina,1
360tono,uclcgt,1
360tono,vicentecarrera_,2
3triatlon,barevalodeleon,1
3triatlon,factor4_gt,2
502betty,densetsuii,2
502betty,traficogt,1
502gcyrius,barevalodeleon,1
502gcyrius,drgiammattei,1
502gcyrius,jimmymoralesgt,1
502gcyrius,ottoperezmolina,1
502gcyrius,uclcgt,1
502gcyrius,vicentecarrera_,2
53675367,barevalodeleon,1
53675367,guate_opina,2
57085652,barevalodeleon,2
5josuejimenez,barevalodeleon,1
5josuejimenez,olsenpsico,2
68e33772d49743d,barevalodeleon,1
68e33772d49743d,chatagira,1
68e33772d49743d,cncguatemala,1
68e33772d49743d,guatemalagob,1
68e33772d49743d,tristemico,2
68e33772d49743d,uclcgt,1
68e33772d49743d,vicentecarrera_,1
7133jrp,traficogt,1
7133jrp,tropicoferoz,2
72elopez,mmendoza_gt,2
72elopez,traficogt,1
73lavon,barevalodeleon,1
73lavon,mrxoki,2
75tonyruiz,barevalodeleon,1
75tonyruiz,felixsinexcusas,1
75tonyruiz,guatemalagob,1
75tonyruiz,rafaelae1967,2
76_brandy,barevalodeleon,1
76_brandy,guatemalagob,1
76_brandy,karinherreravp,1
76_brandy,soy_502,2
7ab3e6a4505c45d,alvarotopis,2
7ab3e6a4505c45d,barevalodeleon,3
7ab3e6a4505c45d,chatagira,1
7ab3e6a4505c45d,goool_deportes,2
7ab3e6a4505c45d,guatemalagob,1
7ab3e6a4505c45d,mineducgt,2
7ab3e6a4505c45d,mixco,1
7ab3e6a4505c45d,olsenpsico,3
7ab3e6a4505c45d,traficogt,1
82pagan,barevalodeleon,2
83fdfc7bd4554fa,barevalodeleon,1
83fdfc7bd4554fa,maestro_roshi_3,2
83fdfc7bd4554fa,oacnudh,1
83fdfc7bd4554fa,volker_turk,1
87kikin,_spguatemala,1
87kikin,amilcarmontejo,1
87kikin,barevalodeleon,4
87kikin,covial_civ,2
87kikin,diariodeca,1
87kikin,dtransitopnc,3
87kikin,fjimenezmingob,2
87kikin,guatemalagob,4
87kikin,karinherreravp,3
87kikin,mingobguate,1
87kikin,monical01111764,6
87kikin,pncdeguatemala,3
87kikin,provialoficial,3
87kikin,traficogt,4
87kikin,viceguatemala,3
88libre,arronchopa,1
88libre,barevalodeleon,1
88libre,benitoc67601310,2
88libre,chejo111,1
