user,indegree,outdegree,indegree_w,outdegree_w,pagerank,betweenness
barevalodeleon,2727,0,5917,0,0.1305065683761091,0.5678129492450326
traficogt,1891,47,5622,150,0.07188425249347942,0.4769920756448266
guatemalagob,656,2,1171,8,0.01769790642470002,0.03003666703131621
ubaldomacu,407,12,1022,36,0.008834048212307561,0.013284802281880554
mpguatemala,430,2,605,2,0.010947266065407028,0.01937747080148188
fjimenezmingob,289,2,594,2,0.004777378212152514,0.0025057783348416047
santipalomov,374,0,526,0,0.005588814259778401,0.0042097417261545145
__vadertg,221,22,443,33,0.004514586413577156,0.00734704829916883
prensacomunitar,173,15,355,16,0.00392155643084462,0.003899251196830067
olsenpsico,166,3,341,4,0.004660327686856144,0.006566043584544578
vicentecarrera_,155,18,338,29,0.002524553308152182,0.004195442468962201
elquenews,150,6,336,13,0.0038100236709522183,0.0007634640081588519
drgiammattei,246,1,322,2,0.014109747490318843,0.010994278519246647
lahoragt,155,2,312,2,0.003107440324821445,0.0036101746729493814
congresoguate,265,0,310,0,0.004413072080230368,0.009543488020273444
mingobguate,228,0,310,0,0.004876773941913377,0.006458188265236876
karinherreravp,170,0,268,0,0.002699550715745346,0.0022469984914563986
pncdeguatemala,187,0,251,0,0.001838435213570426,0.001538720739880259
bancadasemilla,151,0,242,0,0.002235014899363479,0.0015748785012053821
ivanduque,116,1,240,1,0.005706766511535261,0.00043745747158118056
mmendoza_gt,146,7,238,7,0.002934803243718552,0.006422898878958803
amilcarmontejo,92,2,226,3,0.002464920179682464,0.0005343193405679031
diariodeca,165,8,226,59,0.0012114056317727962,0.0032353221698350975
factor4_gt,100,13,222,20,0.002545943334322452,0.003227042193750173
jczamora,95,0,218,0,0.0015287652688349507,0.0004409970278164692
usaidguate,188,2,211,2,0.007090634710694598,0.0028272794731276905
jlfont001,119,13,195,20,0.0019202246259100275,0.006317383902001751
emisorasunidas,110,4,194,8,0.001973919102051751,0.004989447602736427
_spguatemala,137,0,188,0,0.0009341142376876421,0.00018436839586104275
mendiamariela,82,17,182,85,0.0018399808830589844,0.0006311337225371254
agn_noticias,136,7,180,24,0.0011337197012637268,0.0007525771537951778
radio_tgw,129,5,176,10,0.0009488922951293687,0.00044760465669098517
gersongudielcas,86,9,173,14,0.0025081223344394603,0.001728234789849595
samuel_pz,115,0,166,0,0.0016871536248741084,0.00118998201287486
uclcgt,133,3,163,3,0.0012233235418051657,0.00024316803846101238
felixsinexcusas,111,0,154,0,0.0015486482986126833,0.0005084041365859447
ricigt1,67,1,152,1,0.0008833508162255375,0.0006635459194134288
dtransitopnc,101,0,147,0,0.0010103158855455968,0.00025809956153073263
drewzecena,75,1,141,2,0.002109778865308441,0.0002676379610075419
muniguate,87,0,128,0,0.001439000128221116,0.0007876844989189968
rafaelae1967,54,14,126,50,0.0012322154584140997,0.0012566827911156136
cc_guatemala,92,0,124,0,0.006812415742735677,0.0013131887051827512
msemillagt,92,1,124,1,0.0028287307398548486,0.0018156735614384971
soy_502,71,0,118,0,0.0007819208102325457,0.0004694033378176262
manfredoguate,56,7,117,8,0.0009843444369151732,0.003093271699545617
c_smaldonado,57,2,116,2,0.0010717569436739822,0.0001114352714957357
jimmymoralesgt,99,0,116,0,0.0010394510326395975,0.0002471997586810897
nenucosm81863,56,12,112,23,0.0012592397684687289,0.0005775702963502603
plazapublicagt,72,3,110,5,0.0009219791667273519,0.000653240901196448
agenciaocote,58,7,109,8,0.0014356151773696913,0.0008456750511558714
avillagran502,89,0,107,0,0.0016892153352329902,0.0003456932484235378
hshetemul,48,0,103,0,0.0008104128291316491,0.0002982484520042799
